title,total,price,qu,lu,xiaoqu,huxing,louceng,mianji,taoneimianji,jianzhuleixing,chaoxiang,jianchengniandai,zhuangxiuqingkuang,jianzhujiegou,gongnuanfangshi,tihubili,dianti,jiaoyishuxing,fangwuyongtu,chanquannianxian
缘圆宝邸2室2厅72.91平米_上海缘圆宝邸二手房成交房源(上海链家),365,50062,嘉定,江桥,缘圆宝邸,2室2厅1厨1卫,中楼层(共7层),72.91㎡,平层,板楼,南,2008,精装,钢混结构,,一梯四户,有,商品房,普通住宅,暂无数据
樱花坊2室2厅77.49平米_上海樱花坊二手房成交房源(上海链家),630,81301,浦东,花木,樱花坊,2室2厅1厨1卫,低楼层(共6层),77.49㎡,平层,板楼,南,1995,精装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
绿地香颂(奉贤)(公寓)2室1厅65.13平米_上海绿地香颂(奉贤)(公寓)二手房成交房源(上海链家),88,13512,奉贤,海湾,绿地香颂(奉贤)(公寓),2室1厅1厨1卫,低楼层(共8层),65.13㎡,平层,板楼,南,2013,精装,钢混结构,,两梯十二户,有,商品房,普通住宅,暂无数据
民乐小区3室2厅114.36平米_上海民乐小区二手房成交房源(上海链家),338,29556,松江,松江老城,民乐小区,3室2厅1厨2卫,中楼层(共6层),114.36㎡,平层,板楼,南,1997,精装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
凯阳公寓2室1厅82.47平米_上海凯阳公寓二手房成交房源(上海链家),559,67783,杨浦,周家嘴路,凯阳公寓,2室1厅0厨1卫,高楼层(共24层),82.47㎡,平层,塔楼,南西北,1999,简装,钢混结构,,两梯七户,有,商品房,普通住宅,暂无数据
凯阳公寓2室1厅82.47平米_上海凯阳公寓二手房成交房源(上海链家),559,67783,杨浦,周家嘴路,凯阳公寓,2室1厅0厨1卫,高楼层(共24层),82.47㎡,平层,塔楼,南西北,1999,简装,钢混结构,,两梯七户,有,商品房,普通住宅,暂无数据
景峰苑2室0厅53.97平米_上海景峰苑二手房成交房源(上海链家),293,54290,静安,阳城,景峰苑,2室0厅1厨1卫,中楼层(共6层),53.97㎡,暂无数据,板楼,南,1995,其他,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
世纪新城2室2厅89.06平米_上海世纪新城二手房成交房源(上海链家),287,32226,松江,松江新城,世纪新城,2室2厅1厨1卫,低楼层(共11层),89.06㎡,平层,板楼,南,2003,精装,钢混结构,,一梯两户,有,商品房,普通住宅,暂无数据
胶南小区1室1厅36.62平米_上海胶南小区二手房成交房源(上海链家),163,44512,浦东,南码头,胶南小区,1室1厅1厨1卫,高楼层(共6层),36.62㎡,平层,板楼,南,1979,简装,砖混结构,,一梯四户,无,商品房,普通住宅,暂无数据
广场大厦4室2厅184.91平米_上海广场大厦二手房成交房源(上海链家),908,49105,长宁,古北,广场大厦,4室2厅1厨2卫,高楼层(共20层),184.91㎡,平层,塔楼,南,1994,精装,钢混结构,,两梯五户,有,商品房,普通住宅,暂无数据
